name,address,lat,lng, type
PVOil Si Ma Cai,TT. Si Ma Cai H. Si Ma Cai,22.689012,104.278901,VinFast DC 60kW
Sân vận động Lào Cai,P. Nam Cường TP. Lào Cai,22.478901,103.982345,VinFast DC 30kW
Vincom Plaza Yên Bái,Đường Nguyễn Thái Học P. Nguyễn Thái Học,21.712345,104.878901,VinFast DC 30kW
Trạm dừng nghỉ Km114 (Cao tốc),Xã Minh Quân H. Trấn Yên,21.634567,104.989012,VinFast DC 360kW
PVOil Nghĩa Lộ,P. Pú Trạng Thị xã Nghĩa Lộ,21.601234,104.512345,VinFast DC 60kW
VinFast Showroom Yên Bái,Đường Điện Biên P. Yên Ninh,21.723456,104.891234,VinFast DC 60kW
PVOil Mù Cang Chải,Thị trấn Mù Cang Chải,21.845678,104.089012,VinFast DC 30kW
Khách sạn Mường Thanh Yên Bái,Đường Tú Xương P. Đồng Tâm,21.705678,104.882345,VinFast DC 30kW
PVOil Lục Yên,Thị trấn Yên Thế H. Lục Yên,22.112345,104.765432,VinFast DC 60kW
PVOil Yên Bình,Thị trấn Yên Bình H. Yên Bình,21.745678,104.923456,VinFast DC 60kW
PVOil Văn Chấn,Thị trấn Sơn Thịnh H. Văn Chấn,21.567890,104.623456,VinFast DC 60kW
Le Champ Tu Le Resort,Xã Tú Lệ H. Văn Chấn,21.765432,104.432109,Eboost AC 22kW
Hồ Thác Bà (Khu du lịch),Huyện Yên Bình Yên Bái,21.789012,104.956789,VinFast AC 11kW
PVOil Văn Yên,Thị trấn Mậu A H. Văn Yên,21.890123,104.678901,VinFast DC 60kW
Bến xe Khách Yên Bái,P. Nguyễn Thái Học TP. Yên Bái,21.714567,104.876543,VinFast DC 30kW
PVOil Trạm Tấu,Thị trấn Trạm Tấu H. Trạm Tấu,21.534567,104.489012,VinFast DC 30kW
Bệnh viện Đa khoa Yên Bái,P. Minh Tân TP. Yên Bái,21.726789,104.885678,VinFast DC 30kW
Quảng trường 19/8,P. Đồng Tâm TP. Yên Bái,21.703456,104.881234,VinFast AC 11kW
PVOil Âu Lâu,Xã Âu Lâu TP. Yên Bái,21.689012,104.856789,VinFast DC 60kW
Khách sạn Như Nguyệt,Đường Đinh Tiên Hoàng P. Đồng Tâm,21.706789,104.884567,VinFast AC 11kW
PVOil Cổ Phúc,Thị trấn Cổ Phúc H. Trấn Yên,21.756789,104.823456,VinFast DC 60kW
Khu nghỉ dưỡng Mù Cang Chải,Xã La Pán Tẩn H. Mù Cang Chải,21.856789,104.123456,Eboost AC 11kW
Chợ Đồng Tâm,P. Đồng Tâm TP. Yên Bái,21.704567,104.883456,VinFast AC 11kW
PVOil Km5,P. Yên Ninh TP. Yên Bái,21.728901,104.894567,VinFast DC 60kW
Công viên Yên Hòa,P. Yên Ninh TP. Yên Bái,21.718901,104.889012,VinFast AC 11kW
Nhà khách Hào Gia,P. Đồng Tâm TP. Yên Bái,21.702345,104.880123,VinFast AC 11kW
PVOil Giới Phiên,Xã Giới Phiên TP. Yên Bái,21.691234,104.867890,VinFast DC 60kW
Vincom Plaza Việt Trì,Đại lộ Hùng Vương P. Tiên Cát TP. Việt Trì,21.321234,105.401234,VinFast DC 30kW
Mường Thanh Luxury Phú Thọ,Đại lộ Hùng Vương P. Gia Cẩm TP. Việt Trì,21.314567,105.396789,VinFast DC 30kW
Trạm dừng nghỉ Km57 (Cao tốc),Xã Phù Ninh H. Phù Ninh,21.456789,105.289012,VinFast DC 250kW
Đền Hùng (Khu di tích),Xã Hy Cương TP. Việt Trì,21.378901,105.323456,VinFast DC 60kW
PVOil Thanh Thủy,Thị trấn Thanh Thủy H. Thanh Thủy,21.123456,105.289012,VinFast DC 60kW
VinFast Showroom Việt Trì,Đại lộ Hùng Vương P. Vân Phú,21.345678,105.389012,VinFast DC 60kW
PVOil Phú Thọ (Thị xã),P. Âu Cơ Thị xã Phú Thọ,21.401234,105.223456,VinFast DC 60kW
Vườn Vua Resort & Villas,Xã Trung Thịnh H. Thanh Thủy,21.145678,105.267890,Eboost AC 22kW
PVOil Cẩm Khê,Thị trấn Cẩm Khê H. Cẩm Khê,21.456789,105.067890,VinFast DC 60kW
PVOil Đoan Hùng,Thị trấn Đoan Hùng H. Đoan Hùng,21.623456,105.189012,VinFast DC 60kW
PVOil Lâm Thao,Thị trấn Lâm Thao H. Lâm Thao,21.312345,105.289012,VinFast DC 60kW
Đảo Ngọc Xanh,Thị trấn Thanh Thủy H. Thanh Thủy,21.134567,105.278901,VinFast AC 11kW
PVOil Tân Sơn,Xã Tân Phú H. Tân Sơn,21.156789,104.989012,VinFast DC 30kW
GO! Việt Trì (Big C),Đường Nguyễn Tất Thành P. Thanh Miếu,21.298901,105.412345,VinFast DC 60kW
Bến xe Việt Trì,P. Gia Cẩm TP. Việt Trì,21.316789,105.394567,VinFast DC 30kW
PVOil Tam Nông,Thị trấn Hưng Hóa H. Tam Nông,21.245678,105.312345,VinFast DC 60kW
PVOil Yên Lập,Thị trấn Yên Lập H. Yên Lập,21.345678,105.034567,VinFast DC 60kW
Khách sạn X2 Vibe Việt Trì,P. Bến Gót TP. Việt Trì,21.289012,105.423456,VinFast AC 11kW
PVOil Hạ Hòa,Thị trấn Hạ Hòa H. Hạ Hòa,21.567890,105.012345,VinFast DC 60kW
Khu công nghiệp Thụy Vân,Xã Thụy Vân TP. Việt Trì,21.356789,105.367890,VinFast DC 150kW
Sân vận động Việt Trì,Đại lộ Hùng Vương P. Thọ Sơn,21.305678,105.405678,VinFast AC 11kW
PVOil Phù Ninh,Thị trấn Phong Châu H. Phù Ninh,21.412345,105.345678,VinFast DC 60kW
Thanh Thủy Hot Spring Resort,Xã La Phù H. Thanh Thủy,21.112345,105.290123,Eboost AC 11kW
Bảo tàng Hùng Vương,Đường Trần Phú P. Gia Cẩm,21.318901,105.392345,VinFast AC 11kW
Quảng trường Hùng Vương,P. Gia Cẩm TP. Việt Trì,21.313456,105.398901,VinFast AC 11kW
Vincom Shophouse Hà Giang,Đường Trần Phú P. Trần Phú TP. Hà Giang,22.823456,104.987654,VinFast AC 11kW
PVOil Hà Giang (Km0),Đường Nguyễn Trãi P. Nguyễn Trãi TP. Hà Giang,22.812345,104.981234,VinFast DC 60kW
PVOil Quản Bạ,Thị trấn Tam Sơn H. Quản Bạ,23.067890,104.989012,VinFast DC 60kW
PVOil Yên Minh,Thị trấn Yên Minh H. Yên Minh,23.123456,105.123456,VinFast DC 60kW
PVOil Đồng Văn,Thị trấn Đồng Văn H. Đồng Văn,23.278901,105.356789,VinFast DC 60kW
PVOil Mèo Vạc,Thị trấn Mèo Vạc H. Mèo Vạc,23.165432,105.412345,VinFast DC 60kW
PVOil Bắc Quang,Thị trấn Việt Quang H. Bắc Quang,22.456789,104.823456,VinFast DC 60kW
PVOil Vị Xuyên,Thị trấn Vị Xuyên H. Vị Xuyên,22.678901,104.956789,VinFast DC 60kW
P'apiu Resort,Xã Yên Định H. Bắc Mê,22.745678,105.145678,Eboost AC 22kW
H'Mong Village Resort,Khu Tráng Kìm xã Đông Hà H. Quản Bạ,23.045678,105.012345,VinFast AC 11kW
Khách sạn Yên Biên Luxury,Đường Nguyễn Trãi P. Nguyễn Trãi TP. HG,22.816789,104.985678,VinFast DC 30kW
PVOil Hoàng Su Phì,Thị trấn Vinh Quang H. Hoàng Su Phì,22.689012,104.678901,VinFast DC 60kW
PVOil Xín Mần,Thị trấn Cốc Pài H. Xín Mần,22.689012,104.456789,VinFast DC 30kW
PVOil Bắc Mê,Thị trấn Yên Phú H. Bắc Mê,22.756789,105.212345,VinFast DC 60kW
Bến xe khách Hà Giang,P. Phương Thiện TP. Hà Giang,22.801234,104.976543,VinFast DC 60kW
Quảng trường 26/3,P. Minh Khai TP. Hà Giang,22.825678,104.983456,VinFast AC 11kW
PVOil Quang Bình,Thị trấn Yên Bình H. Quang Bình,22.412345,104.623456,VinFast DC 60kW
Pan Hou Village,Xã Thông Nguyên H. Hoàng Su Phì,22.589012,104.645678,Eboost AC 11kW
Khách sạn Phoenix Hà Giang,P. Nguyễn Trãi TP. Hà Giang,22.814567,104.982345,VinFast AC 11kW
Cột cờ Lũng Cú (Bãi xe),Xã Lũng Cú H. Đồng Văn,23.367890,105.312345,VinFast AC 11kW
Chợ Đồng Văn,TT. Đồng Văn H. Đồng Văn,23.279801,105.357890,VinFast AC 11kW
Nhà khách Hà An,P. Nguyễn Trãi TP. Hà Giang,22.818901,104.984567,VinFast AC 11kW
PVOil Thanh Thủy (Cửa khẩu),Xã Thanh Thủy H. Vị Xuyên,22.912345,104.956789,VinFast DC 60kW
Silk River Hotel,P. Nguyễn Trãi TP. Hà Giang,22.813456,104.980123,VinFast AC 11kW
Dinh Vua Mèo (Bãi xe),Xã Sà Phìn H. Đồng Văn,23.256789,105.289012,VinFast AC 11kW
Vincom Plaza Tuyên Quang,Đường Quang Trung P. Phan Thiết TP. TQ,21.823456,105.218901,VinFast DC 30kW
Mường Thanh Grand Tuyên Quang,Đường Bình Thuận P. Tân Quang TP. TQ,21.825678,105.221234,VinFast DC 30kW
PVOil Tuyên Quang,P. Tân Hà TP. Tuyên Quang,21.845678,105.234567,VinFast DC 60kW
Khu di tích Tân Trào,Xã Tân Trào H. Sơn Dương,21.756789,105.512345,VinFast DC 60kW
PVOil Hàm Yên,Thị trấn Tân Yên H. Hàm Yên,22.056789,104.989012,VinFast DC 60kW
PVOil Chiêm Hóa,Thị trấn Vĩnh Lộc H. Chiêm Hóa,22.145678,105.267890,VinFast DC 60kW
PVOil Na Hang,Thị trấn Na Hang H. Na Hang,22.345678,105.389012,VinFast DC 60kW
PVOil Sơn Dương,Thị trấn Sơn Dương H. Sơn Dương,21.701234,105.401234,VinFast DC 60kW
PVOil Yên Sơn,Xã Tứ Quận H. Yên Sơn,21.912345,105.201234,VinFast DC 60kW
VinFast Showroom Tuyên Quang,Đường Quang Trung P. Phan Thiết,21.821234,105.216789,VinFast DC 60kW
Suối khoáng Mỹ Lâm (Bãi xe),P. Mỹ Lâm TP. Tuyên Quang,21.767890,105.145678,VinFast AC 11kW
Khách sạn Royal Palace,P. Tân Quang TP. Tuyên Quang,21.818901,105.224567,VinFast DC 30kW
Quảng trường Nguyễn Tất Thành,P. Tân Quang TP. Tuyên Quang,21.822345,105.223456,VinFast AC 11kW
PVOil Lâm Bình,Thị trấn Lăng Can H. Lâm Bình,22.412345,105.289012,VinFast DC 30kW
Bến xe Tuyên Quang,P. Tân Hà TP. Tuyên Quang,21.848901,105.236789,VinFast DC 60kW
Khu công nghiệp Long Bình An,Xã Đội Cấn TP. Tuyên Quang,21.789012,105.256789,VinFast DC 150kW
Bệnh viện Đa khoa Tuyên Quang,P. Tân Hà TP. Tuyên Quang,21.834567,105.230123,VinFast DC 30kW
Khách sạn Mai Sơn,P. Phan Thiết TP. Tuyên Quang,21.826789,105.214567,VinFast AC 11kW
PVOil Km 31,Đường Quốc lộ 2 H. Hàm Yên,22.012345,105.045678,VinFast DC 60kW
Khu du lịch Na Hang (Bến thủy),TT. Na Hang H. Na Hang,22.356789,105.391234,VinFast AC 11kW
Cổng trời Na Hang,QL279 H. Na Hang,22.423456,105.345678,VinFast AC 11kW
Trung tâm Hội nghị Tỉnh,P. Tân Trào TP. Tuyên Quang,21.824567,105.222345,VinFast AC 11kW
PVOil Thượng Lâm,Xã Thượng Lâm H. Lâm Bình,22.456789,105.312345,VinFast DC 30kW
Khách sạn Lavender,P. Tân Quang TP. Tuyên Quang,21.821234,105.225678,VinFast AC 11kW
Chợ Tam Cờ,P. Tân Quang TP. Tuyên Quang,21.816789,105.227890,VinFast AC 11kW
Vincom Plaza Cao Bằng,P. Hợp Giang TP. Cao Bằng,22.665432,106.256789,VinFast DC 30kW
Mường Thanh Luxury Cao Bằng,P. Hợp Giang TP. Cao Bằng,22.667890,106.254567,VinFast DC 30kW
PVOil Thành Phố Cao Bằng,P. Sông Hiến TP. Cao Bằng,22.654321,106.245678,VinFast DC 60kW
Thác Bản Giốc (Khu du lịch),Xã Đàm Thủy H. Trùng Khánh,22.854321,106.723456,VinFast DC 60kW
PVOil Trùng Khánh,Thị trấn Trùng Khánh H. Trùng Khánh,22.834567,106.523456,VinFast DC 60kW
PVOil Quảng Hòa,Thị trấn Quảng Uyên H. Quảng Hòa,22.745678,106.456789,VinFast DC 60kW
Khu di tích Pác Bó,Xã Trường Hà H. Hà Quảng,22.987654,106.056789,VinFast DC 30kW
PVOil Nguyên Bình,Thị trấn Nguyên Bình H. Nguyên Bình,22.678901,105.967890,VinFast DC 60kW
PVOil Hòa An,Thị trấn Nước Hai H. Hòa An,22.712345,106.189012,VinFast DC 60kW
PVOil Bảo Lạc,Thị trấn Bảo Lạc H. Bảo Lạc,22.945678,105.678901,VinFast DC 60kW
VinFast Showroom Cao Bằng,Đường Kim Đồng P. Hợp Giang,22.663456,106.258901,VinFast DC 60kW
PVOil Thạch An,Thị trấn Đông Khê H. Thạch An,22.423456,106.434567,VinFast DC 60kW
Bến xe khách Cao Bằng,P. Sông Bằng TP. Cao Bằng,22.656789,106.267890,VinFast DC 30kW
PVOil Bảo Lâm,Thị trấn Pác Miầu H. Bảo Lâm,22.834567,105.489012,VinFast DC 30kW
Khách sạn Bằng Giang,P. Hợp Giang TP. Cao Bằng,22.664567,106.252345,VinFast AC 11kW
PVOil Hạ Lang,Thị trấn Thanh Nhật H. Hạ Lang,22.701234,106.678901,VinFast DC 30kW
Sài Gòn - Ban Gioc Resort,Xã Đàm Thủy H. Trùng Khánh,22.852345,106.721234,VinFast AC 11kW
Quảng trường Tượng đài Bác Hồ,P. Hợp Giang TP. Cao Bằng,22.668901,106.256789,VinFast AC 11kW
PVOil Đèo Cao Bắc,QL3 Ranh giới Bắc Kạn - Cao Bằng,22.567890,106.012345,VinFast DC 60kW
Động Ngườm Ngao (Bãi xe),Xã Đàm Thủy H. Trùng Khánh,22.845678,106.712345,VinFast AC 11kW
Chợ Xanh Cao Bằng,P. Hợp Giang TP. Cao Bằng,22.661234,106.255678,VinFast AC 11kW
Khách sạn Max Boutique,P. Hợp Giang TP. Cao Bằng,22.666789,106.259012,VinFast AC 11kW
PVOil Trà Lĩnh,Thị trấn Hùng Quốc H. Trùng Khánh,22.812345,106.345678,VinFast DC 60kW
Nhà khách UBND Tỉnh,P. Hợp Giang TP. Cao Bằng,22.669012,106.253456,VinFast AC 11kW
PVOil Thông Nông,Thị trấn Thông Nông H. Hà Quảng,22.801234,105.989012,VinFast DC 30kW
Vincom Plaza Bắc Kạn,P. Đức Xuân TP. Bắc Kạn,22.145678,105.834567,VinFast DC 30kW
PVOil Bắc Kạn,P. Phùng Chí Kiên TP. Bắc Kạn,22.134567,105.823456,VinFast DC 60kW
Hồ Ba Bể (Bến Buốc Lốm),Xã Khang Ninh H. Ba Bể,22.389012,105.623456,VinFast DC 60kW
PVOil Chợ Mới,Thị trấn Đồng Tâm H. Chợ Mới,21.890123,105.745678,VinFast DC 60kW
PVOil Bạch Thông,Thị trấn Phủ Thông H. Bạch Thông,22.256789,105.867890,VinFast DC 60kW
PVOil Ngân Sơn,Thị trấn Vân Tùng H. Ngân Sơn,22.434567,105.989012,VinFast DC 60kW
PVOil Na Rì,Thị trấn Yến Lạc H. Na Rì,22.234567,106.078901,VinFast DC 60kW
PVOil Chợ Đồn,Thị trấn Bằng Lũng H. Chợ Đồn,22.156789,105.612345,VinFast DC 60kW
Khách sạn Núi Hoa,P. Đức Xuân TP. Bắc Kạn,22.146789,105.836789,VinFast DC 30kW
